Авторы;Идентификатор автора(ов);Название;Год
Kanaeva N.A.;"57195807290;";The influence of ritualistics and grammar on the paradigm of Sanskrit scholarship;2016
Besschetnova E.V.;"57195737021;";N. M. Karamzin: The origins of Russian enlightenment;2016
Kirsberg I.V.;"57195837994;";Phenomenology of the religion of G. van der Leuw as a nonphenomenological pattern?;2016
Zhukova O.A.;"57195633740;";Reading Karamzin: Philosophical questions of Russian history;2016
Kantor V.K.;"37095241800;";Karamzin: Self-knowledge, or Creation of European Russia;2016
Palmer A., Phapale P., Chernyavsky I., Lavigne R., Fay D., Tarasov A., Kovalev V., Fuchser J., Nikolenko S., Pineau C., Becker M., Alexandrov T.;"55030498200;24336467100;55531486200;16025182900;57191959292;57191961547;57191953927;6506501665;13608710100;7004677531;56711579400;26040516400;";FDR-controlled metabolite annotation for high-resolution imaging mass spectrometry;2016
Shcherbatenko M., Lobanov Y., Semenov A., Kovalyuk V., Korneev A., Ozhegov R., Kazakov A., Voronov B.M., Goltsman G.N.;"56095501200;9333900400;56879243200;35778256000;7006297830;8309839000;40461784900;57200973381;7006771637;";Potential of a superconducting photon counter for heterodyne detection at the telecommunication wavelength;2016
Kolokolov I.V., Lebedev V.V.;"7003722702;8971405800;";Velocity statistics inside coherent vortices generated by the inverse cascade of 2-DÂ turbulence;2016
Semeno A.V., Gilmanov M.I., Bogach A.V., Krasnorussky V.N., Samarin A.N., Samarin N.A., Sluchanko N.E., Shitsevalova N.Y., Filipov V.B., Glushkov V.V., Demishev S.V.;"6603469435;56388711600;6602558397;12753792700;56388563800;7003288213;7003907911;8656965400;23569120600;7004877305;7006613161;";Magnetic resonance anisotropy in CeB6: an entangled state of the art;2016
Avetisov V., Hovhannisyan M., Gorsky A., Nechaev S., Tamm M., Valba O.;"35560504700;57188592526;56243552200;7006930329;7006098030;37100734000;";Eigenvalue tunneling and decay of quenched random network;2016
Gambarato R.P., Medvedev S.A.;"56039359500;57098823200;";Transmedia storytelling impact on government policy change;2016
Kostinskiy A., Syssoev V., Andreev M., Sukharevsky D., Bulatov M., Mareev E., Bogatov N., Rakov V.;"6505632124;6505825460;56921676500;56194293200;7003529724;35606965700;6603914655;57203079997;";Electric discharges produced by artificially charged clouds: Influence of rapidly moving conductive object;2016
Kostinskiy A., Syssoev V., Andreev M., Sukharevsky D., Bulatov M., Mareev E., Bogatov N., Rakov V.;"6505632124;6505825460;56921676500;56194293200;7003529724;35606965700;6603914655;57203079997;";A new class of electric discharges in clouds of negatively charged water droplets;2016
Shitov Y.;"35148401800;";A counterexample on tropical linear spaces;2016
Kononov Y., Morozov A.;"56708346700;7202104775;";On rectangular HOMFLY for twist knots;2016
Kaushanskiy V., Lapshin V.;"57189357122;55177754000;";A nonparametric method for term structure fitting with automatic smoothing;2016
Osipov D.;"24481886700;";An upper bound on the error probability of a communication system with nonparametric detection;2016
Egorova E., Potapova V.;"57189028712;57201885480;";Signature codes for a special class of multiple access channel;2016
Maltseva S.V., Komarov M.M.;"56022395900;6603888073;";Web 3.0 and Smart Commerce (W3SC 2016) Preface;2016
Tsukanova O.A., Dmitriev A.V., Maltseva S.V.;"56022228800;57169649000;56022395900;";Network evolution modeling under conditions of change in the data exchange rate;2016
Knyazev K., Komarov M.;"57193063117;6603888073;";Infological models for smart commerce;2016
Akolzin I., Shabanov D.;"56971519800;6602787390;";Colorings of hypergraphs with large number of colors;2016
Maurice P., Baud S., Bocharova O.V., Bocharov E.V., Kuznetsov A.S., Kawecki C., Bocquet O., Romier B., Gorisse L., Ghirardi M., Duca L., Blaise S., Martiny L., Dauchez M., Efremov R.G., Debelle L.;"10040734400;55556463100;7003556495;7004085574;55428954100;55988201400;36902546400;23973198100;54420111200;55986846000;6602955809;36970395900;55987927000;6602002957;8308626600;6701784673;";New Insights into Molecular Organization of Human Neuraminidase-1: Transmembrane Topology and Dimerization Ability;2016
Grechishnikova D., Poptsova M.;"57192207427;16177766600;";Conserved 3' UTR stem-loop structure in L1 and Alu transposons in human genome: Possible role in retrotransposition;2016
Semenov A., Zakhlebin I., Tolmach A., Nikolenko S.I.;"57022170000;56523322300;57190399543;13608710100;";Pseudo-bimodal community detection in Twitter-based networks;2016
Buyanova M.O.;"57204216963;";Problems of tapping the international experience of social services in present-day Russia;2016
Cheltsov I., Shramov C.;"57203801065;35957244100;";Two rational nodal quartic 3-folds;2016
Amerik E., Verbitsky M.;"56619370700;7004282961;";Hyperbolic geometry of the ample cone of a hyperkähler manifold;2016
Koroleva D.O., Kochervey A.I., Nasonova K.M., Shibeko Y.V.;"56955559600;57196460852;57196454062;57196450127;";The Game Pokemon Go as a Crosscultural Phenomenon;2016
Popova T.P., Nenasheva T.A.;"57111605800;57196456141;";Virtual Linguistic Personas and Foreign Language Teaching in Higher Education;2016
Varshavskaya E.Y.;"56766126200;";Where Do Highly Educated Russians Work, and What Do They Do for a Living?;2016
Dushina A.D., Kersha Y.D., Larkina T.Y., Provorova D.D.;"57191359289;57191364802;57191338988;57191362076;";The Legitimation of Commercial Surrogacy in Russia;2016
Karminsky A.M., Khromova E.;"37053822300;57190980092;";Modelling banks’ credit ratings of international agencies;2016
Itkin I., Malyshev S.;"57194582251;57194579771;";Three unedited Sanskrit / Tocharian A bilingual texts of the Varnarhavarnastotra;2016
Kazun A., Barsukova S.;"57193912167;8881851000;";Russia's accession to the WTO: The debate in the Russian mass media;2016
Govorun A., Marques I., II, Pyle W.;"57192251850;57143976400;57207605001;";The political roots of intermediated lobbying: Evidence from Russian enterprises and business associations;2016
Borisov A.V., Kazakov A.O., Pivovarova E.N.;"56681444200;57192956902;56105346800;";Regular and chaotic dynamics in the rubber model of a Chaplygin top;2016
Borisov A.V., Kazakov A.O., Sataev I.R.;"56681444200;57192956902;6603115336;";Spiral chaos in the nonholonomic model of a Chaplygin top;2016
Permyakova T., Utkina T.;"56548692800;57204529820;";The study of conceptual metaphors in ESAP L2 writing: Range and variability;2016
Marchuk N.G., Shirokov D.S.;"6602450293;25629062100;";General Solutions of One Class of Field Equations;2016
Tikhonov A.M., Asadchikov V.E., Volkov Y.O., Roshchin B.S., Monakhov I.S., Smirnov I.S.;"7101634278;7004211938;55725698100;15080838600;55683326100;7202245163;";Kinetics of the formation of a phospholipid multilayer on a silica sol surface;2016
Janssen M.C.W., Teteryatnikova M.;"7202771385;56375918100;";Horizontal Product Differentiation: Disclosure and Competition;2016
Kulagin V.P., Shustov B.M., Kuznetsov Y.M., Kaperko A.F., Bober S.A., Obolyaeva N.M., Naroenkov S.A., Shuvalov V.V., Svettsov V.V., Popova O.P., Glazachev D.O.;"56912007700;6603066355;57191619222;6507584555;35097145600;57193347249;36570749300;7101960678;55662973900;7102647370;55189829500;";Methods and means of information-analytical assessment of asteroid and comet hazard;2016
Borovitskaya I.V., Lyublinskiy I.E., Bondarenko G.G., Paramonova V.V., Korshunov S.N., Mansurova A.N., Lyakhovitskiy M.M., Zharkov M.Y.;"7801456545;57193341907;7103344120;55189563600;7005711121;6603408699;6508140232;54909103000;";Corrosion resistance investigation of vanadium alloys in liquid lithium;2016
Komovkin S.V., Lavrenov S.M., Tuchin A.G., Tuchin D.A., Yaroshevsky V.S.;"56388637700;35095362500;6507926490;23013416500;6507068478;";Celestial-mechanical interpretation of the two-way radio measurements of radial velocity of spacecraft for scientific applications;2016
Petrosyants K.O., Popov D.A., Sambursky L.M., Kharitonov I.A.;"6602577918;55795078700;12141342300;56711354200;";TCAD leakage current analysis of a 45 nm MOSFET structure with a high-k dielectric;2016
Grigoriev F.I., Aleksandrova A.B., Gafurov V.A.;"57193324754;57193326645;57193326467;";A method for calculating the thermal characteristics of silicon TVS-diodes in the pulse mode;2016
Chumachenko E.N., Logashina I.V.;"7004559856;6506347069;";Calculation of the strain-deformation condition of the spinal motor segment during loading;2016
Golubyatnikov V.A., Lysenko A.P., Belov A.G., Kanevskii V.E.;"56288426800;7102056469;7202831990;22635087900;";Method of investigation of galvanomagnetic properties of CdxHg1 − xTe and CdxHg1 − xTe/Cd1 − yZnyTe;2016
Yasnitsky L.N., Yasnitsky V.L.;"6602291952;57192961381;";Technique of design for integrated economic and mathematical model for mass appraisal of real estate property. Study case of Yekaterinburg housing market;2016
Asaturov K.;"56030635100;";Time-varying beta of Russian companies;2016
Belavin A.A., Gepner D., Kononov Y.A.;"57204155478;6602939057;56708346700;";Flat coordinates for Saito Frobenius manifolds and string theory;2016
Morozova E.O., Zakharov D., Gutkin B.S., Lapish C.C., Kuznetsov A.;"57191195853;26435617000;55884887100;6505920789;35512342300;";Dopamine Neurons Change the Type of Excitability in Response to Stimuli;2016
Tihanov G.;"24175231500;";The post-romantic syndrome: Reflections on work, wealth, and trade from Adam Müller to Ernst Jünger;2016
Mikucka M.;"12789736800;";How does parenthood affect life satisfaction in Russia?;2016
Gromov E., Malomed B.;"56802827200;57194699446;";Coupled solitons of intense high-frequency and low-frequency waves in Zakharov-type systems;2016
Cella K., Carmona L., Ekimova I., Chichvarkhin A., Schepetov D., Gosliner T.M.;"56509558400;54382837100;56509329500;6507676513;56196191200;6603048131;";A radical solution: The phylogeny of the nudibranch family fionidae;2016
Lazarev A.A., Musatova E.G., Tarasov I.A.;"7101908181;55858041000;57191647086;";Two-directional traffic scheduling problem solution for a single-track railway with siding;2016
Arkhipov D.I., Lazarev A.A.;"57045740500;7101908181;";Minimizing the maximal weighted lateness of delivering orders between two railroad stations;2016
Horta H., Yudkevich M.;"24341274900;25924090500;";The role of academic inbreeding in developing higher education systems: Challenges and possible solutions;2016
Canavier C.C., Evans R.C., Oster A.M., Pissadaki E.K., Drion G., Kuznetsov A.S., Gutkin B.S.;"6603971567;55220582600;14054475800;14830543600;36193683900;35512342300;55884887100;";Implications of cellular models of dopamine neurons for disease;2016
Volovik G.E., Pudalov V.M.;"7007073915;7004386882;";Graphite on graphite;2016
Dabrowski M.;"7102470639;";The future of the European union: Towards a functional federalism;2016
Sheldon K.M., Wineland A., Venhoeven L., Osin E.;"7006407803;57192301728;51666069600;35737831400;";Understanding the Motivation of Environmental Activists: A Comparison of Self-Determination Theory and Functional Motives Theory;2016
Chernyshova M., Gribkov V.A., Kowalska-Strzeciwilk E., Kubkowska M., Miklaszewski R., Paduch M., Pisarczyk T., Zielinska E., Demina E.V., Pimenov V.N., Maslyaev S.A., Bondarenko G.G., Vilemova M., Matejicek J.;"6603807615;55401706200;8983411000;9733710800;6701481279;7003524484;7003621359;55391494200;7005339453;35546277900;6603023345;7103344120;35424677200;6701754946;";Interaction of powerful hot plasma and fast ion streams with materials in dense plasma focus devices;2016
Lysenko A.P.;"7102056469;";Current Instability in Four-Layer p–n–p–n-Structures;2016
Kuntsevich A.Y., Gabdullin A.A., Prudkogliad V.A., Selivanov Y.G., Chizhevskii E.G., Pudalov V.M.;"8435043300;57192255693;57192235454;7004100631;6506264367;7004386882;";Low-temperature Hall effect in bismuth chalcogenides thin films;2016
Klimova S.;"57195533398;";Mikhail Lifshits’ logomythy: “the art of discrimination”;2016
Lukinskiy V., Lukinskiy V.;"57210102386;56151945100;";Evaluation of the Influence of the Logistic Operations Reliability on the Total Costs of a Supply Chain;2016
Smith P.B., Vignoles V.L., Becker M., Owe E., Easterbrook M.J., Brown R., Bourguignon D., Garðarsdóttir R.B., Kreuzbauer R., Cendales Ayala B., Yuki M., Zhang J., Lv S., Chobthamkit P., Jaafar J.L., Fischer R., Milfont T.L., Gavreliuc A., Baguma P., Bond M.H., Martin M., Gausel N., Schwartz S.J., Des Rosiers S.E., Tatarko A., González R., Didier N., Carrasco D., Lay S., Nizharadze G., Torres A., Camino L., Abuhamdeh S., Macapagal M.E.J., Koller S.H., Herman G., Courtois M., Fritsche I., Espinosa A., Villamar J.A., Regalia C., Manzi C., Brambilla M., Zinkeng M., Jalal B., Kusdil E., Amponsah B., Çağlar S., Mekonnen K.H., Möller B., Zhang X., Schweiger Gallo I., Prieto Gil P., Lorente Clemares R., Campara G., Aldhafri S., Fülöp M., Pyszczynski T., Kesebir P., Harb C.;"7408335964;8755936500;36522239600;55326240900;55319469000;7406361954;6507030520;35274962500;24177811100;55521684600;7005834021;57190015430;36680407800;55521697500;21734641900;56281547800;8156566400;55151189300;6507130754;7202608757;57213339493;37761235400;7403605747;55081644600;8440401400;36339388700;55521855800;55326251100;55326336400;6602684753;7401784478;25951944200;34767746900;7801547176;7004488074;35961148700;56396406400;8914475300;36236717500;54959914100;7801369569;12779509600;55326038400;55274267600;56067103900;55521831700;6602637442;55521655800;55326698200;55521851100;57406066100;15834333200;55521871300;57192104710;55521864400;53163178500;7005853393;7005651470;24381772000;6603856791;";Individual and culture-level components of survey response styles: A multi-level analysis using cultural models of selfhood;2016
Campbell J.W., Im T.;"55841597100;25927936300;";PSM and Turnover Intention in Public Organizations: Does Change-Oriented Organizational Citizenship Behavior Play a Role?;2016
Bogomolov F.A., Pirutka A., Silberstein A.M.;"6603748855;37050385400;57191977928;";Families of disjoint divisors on varieties;2016
Stoeckl K., Michailowski A.;"36601334000;57191966224;";Interview with Sergey Horujy;2016
Aleiner I.L., Faoro L., Ioffe L.B.;"57191295020;6601987083;7004567667;";Microscopic model of quantum butterfly effect: Out-of-time-order correlators and traveling combustion waves;2016
Travkin P., Sharunina A.;"57191883754;57191879674;";The returns to training in Russia: a difference-in-differences analysis;2016
Litvinova V.V., Nikitin Y.Y.;"8417562600;57205496967;";Kolmogorov tests of normality based on some variants of polya’s characterization;2016
Koldanov P., Lozgacheva N.;"55630761900;56593241000;";Multiple testing of sign symmetry for stock return distributions;2016
Mulier K., Schoors K., Merlevede B.;"55641882000;6602890065;7801349870;";Investment-cash flow sensitivity and financial constraints: Evidence from unquoted European SMEs;2016
Cook L.J.;"23034068600;";Erratum to: New Winds of Social Policy in the East (Voluntas, (2015), 26, (2330-2350), 10.1007/s11266-015-9642-7);2016
Nałęcz S., Leś E., Pieliński B.;"56317966500;56051843700;56912321600;";Erratum to: Poland: A New Model of Government–Nonprofit Relations for the East? (Voluntas, (2015), 26, (2351-2378), 10.1007/s11266-015-9653-4);2016
Archambault E.;"6506641985;";Erratum to: France: A Late-Comer to Government–Nonprofit Partnership (Voluntas, (2015), 26, (2283-2310), 10.1007/s11266-015-9644-5);2016
Ranci C.;"14320371400;";Erratum to: The Long-Term Evolution of the Government–Third Sector Partnership in Italy: Old Wine in a New Bottle? (Voluntas, (2015), 26, (2311-2329), 10.1007/s11266-015-9650-7);2016
Remington T.F.;"7004041812;";Erratum to: Institutional Variation Among Russian Regional Regimes: Implications for Social Policy and the Development of Non-governmental Organizations (Voluntas, (2015), 26, (2215-2237), 10.1007/s11266-015-9643-6);2016
Shapovalova Y.;"56845472000;";Erratum to: Modernizing State Support of Nonprofit Service Provision: The Case of Kyrgyzstan (Voluntas, (2015), 26, (2379-2394), 10.1007/s11266-015-9649-0);2016
Yuanfeng Z.;"54416623900;";Erratum to: Dependent Interdependence: The Complicated Dance of Government–Nonprofit Relations in China (Voluntas, (2015), 26, (2395-2423), 10.1007/s11266-015-9645-4);2016
Falco C., Rotondi V.;"56956570600;56901291900;";The Less Extreme, the More You Leave: Radical Islam and Willingness to Migrate;2016
Covolo T., Grabowski J., Poncin N.;"55331414000;7102507596;6505820733;";Splitting theorem for Z2n-supermanifolds;2016
Maslova N.S., Arseyev P.I., Mantsevich V.N.;"7005487950;6602441064;15926177300;";Control of the non-stationary spin-polarized tunneling currents by applied bias changing;2016
Zakharenko R.;"54793839200;";Endogenous growth and demographic transition in a model of cultural transmission;2016
Arutyunov K.Y., Lehtinen J.S.;"6603572972;55099794000;";Quantum Fluctuations of a Superconductor Order Parameter;2016
Muravyev A., Oshchepkov A.;"24381928400;54080231400;";The effect of doubling the minimum wage on employment: evidence from Russia;2016
Efimov A.I.;"57197764694;";Mac Lane (co)homology of the second kind and Wieferich primes;2016
Yagolkovskiy S.R., Kharkhurin A.V.;"57189760601;24437669500;";The roles of rarity and organization of stimulus material in divergent thinking;2016
Ivanova M.V., Isaev D.Y., Dragoy O.V., Akinina Y.S., Petrushevskiy A.G., Fedina O.N., Shklovsky V.M., Dronkers N.F.;"57205859404;57189616540;36522630700;55558819300;57189626099;55935963000;6506723790;6603880631;";Diffusion-tensor imaging of major white matter tracts and their role in language processing in aphasia;2016
Markova Y.V., Shmatko N.A., Katchanov Y.L.;"15846453500;6507223957;55496794100;";Synchronous international scientific mobility in the space of affiliations: evidence from Russia;2016
Mohr B., MacGregor L.J., Difrancesco S., Harrington K., Pulvermüller F., Shtyrov Y.;"16740853000;24178432200;55440893800;56589543200;7006014322;6701617874;";Hemispheric contributions to language reorganisation: An MEG study of neuroplasticity in chronic post stroke aphasia;2016
David-Fox M.;"26033271900;";The leader and the system;2016
Gasparyan D.;"24176741200;";Artificial Intelligence and Semantics through the Prism of Structural, Post-Structural and Transcendental Approaches;2016
Popova E.A., Klimin S.A., Popova M.N., Vasiliev A.N.;"56760485300;57206712624;7103171798;7402046602;";The Contribution of the Nickel Subsystem into Magnetic Properties of Quasi One-Dimensional Magnets (Y 1 - x Nd x) 2 BaNiO 5;2016
Kagan M.Y., Mitskan V.A., Korovushkin M.M.;"7102277369;12760285700;18436867200;";Effect of the Long-Range Coulomb Interaction on the Phase Diagram of the Kohn–Luttinger Superconducting State in Idealized Graphene;2016
Malyshev D.S., Pardalos P.M.;"25522390800;7005330875;";Critical hereditary graph classes: a survey;2016
Entov M., Verbitsky M.;"6506483790;7004282961;";Unobstructed symplectic packing for tori and hyper-Kähler manifolds;2016
Lyusin D., Ovsyannikova V.;"8655301900;55557581200;";Measuring two aspects of emotion recognition ability: Accuracy vs. sensitivity;2016
Pavlova N., Shastitko A.;"57194719156;14621167700;";Leniency programs and socially beneficial cooperation: Effects of type i errors;2016
Shchedrina T.G., Pruzhinin B.I.;"57193112084;37096156600;";The historicism of Leo Shestov and Gustav Shpet (about the existential dimension of phenomenology);2016
Lifintseva T.P.;"55534494200;";Me and Not-You. The deafening silence of the world;2016
Porus V.N.;"52964543700;";On the so-called irrationalism of Leo Shestov;2016
Klimova S.M.;"57195533398;";"""I"" farewell ""did not tell you"": The identity of E. V. Ilyenkov in the style of his works";2016
Girinskiy A.A.;"57195988196;";"Philosophical attraction and repulsion of Lev Shestov: ""Long"" dispute with rationalism";2016
Kantor V.K.;"37095241800;";Shestov or Dostoevsky?;2016
Kostyukevich Y., Borisova L., Kononikhin A., Popov I., Kukaev E., Nikolaev E.;"54897911800;7006547878;8678493100;7202087266;6507367648;55394217800;";Thermal desorption combined with atmospheric pressure photo ionization for the analysis of volatile compounds and its possible applications;2016
Zontov Y.V., Balyklova K.S., Titova A.V., Rodionova O.Y., Pomerantsev A.L.;"56384490900;55991868200;7003793996;55991994000;55886941300;";Chemometric aided NIR portable instrument for rapid assessment of medicine quality;2016
Komarov A., Bazhina E., Bobrov Y.;"57192380312;9843177800;57125920400;";Relationship between gas-dynamic flows and impacts of emergency explosions indoors;2016
Kuzmina L., Osipov Y.;"56104145400;7004957058;";Calculation of filtration of polydisperse suspension in a porous medium;2016
Rumiantcev B.M., Zhukov A.D., Bobrova E.Y., Romanova I.P., Zelenshikov D.B., Smirnova T.V.;"57192369486;8213885500;57192377195;8391015700;57192381978;55983132500;";The systems of insulation and a methodology for assessing the durability;2016
Voronin V., Bobrov Y.;"57191252386;57125920400;";Structuring of nanomodified concrete cured in different temperature and humidity conditions;2016
Norman G.E., Timofeev A.V.;"7102607294;57201423009;";Dusty plasma as a unique object of plasma physics;2016
Semyonov V.P., Timofeev A.V.;"57132863500;57201423009;";Energy transfer between degrees of freedom of a dusty plasma system;2016
Altbach P.G., Yudkevich M.;"16418407500;25924090500;";International faculty in 21st-century universities: Themes and variations;2016
Kuskova V., Yudkevich M.;"25224661800;25924090500;";International academic recruitment in a turbulent environment: The case of the higher school of economics in Russia;2016
Yudkevich M., Altbach P.G., Rumbley L.E.;"25924090500;16418407500;55611698800;";International Faculty in Higher Education: Comparative Perspectives on Recruitment, Integration, and Impact;2016
Kosyakova Y., Yastrebov G., Yanbarisova D., Kurakin D.;"55561949200;25937011700;56968116400;36135586700;";The reproduction of social inequality within the Russian educational system;2016
Loader M.;"57191536905;";Beria and Khrushchev: The Power Struggle over Nationality Policy and the Case of Latvia;2016
Korsun O.M., Kalugin O.N., Vasenko A.S., Prezhdo O.V.;"56040039000;6603782503;8964807800;7005883113;";Electronic Properties of Carbon Nanotubes Intercalated with Li+ and Mg2+: Effects of Ion Charge and Ion Solvation;2016
Karyagin M.E., Romanov V.A.;"57192380582;57217512142;";Russian large cities' open data: Problems of innovative development;2016
Kofanov Y.N., Sotnikova S.Y., Subbotin S.A.;"6507341695;56703233000;57200648506;";Method of increasing the reliability of on-board electronic equipment with an analysis of reserves for the electrical, thermal and mechanical loads;2016
Azarov V.N., Gudkov Y.I., Dobrov G.A.;"57192588492;57200189724;57192592484;";Methodology of creation of electronic learning services and their integration into IT-infrastructure;2016
Presnyakov S.A., Kasatkin A.D., Kravchenko N.P., Mukhin S.V.;"57190171562;57192577502;7006522919;7003565468;";Modeling of beam-plasma devices slow-wave structures and analysis of their dispersion characteristics;2016
Grachev N.N., Safonov S.S.;"26534239200;57200193789;";Aspects of circuit design and design em with regard to electromagnetic compatibility;2016
Khromov I.A., Dvornikov A.A.;"57192576655;57192593637;";Wireless access monitoring and control system based on intrabody communication;2016
Korolev D.A., Gorokhova-Alekseyeva A.V.;"57192576710;57192594178;";Approaches to the development of a mediacontent delivery network based on the infrastructure of existing saas and iaas providers;2016
Azarov V.N., Kabanov A.S., Kopylov O.A., Morgunov M.Y.;"57192588492;57192591854;57192591813;57192591564;";Methods for the modelling of transport security;2016
