Авторы;Идентификатор автора(ов);Название;Год
Biswas S.;"57200138759;";Struggles of pensioners in Jharkhand;2017
Safin A., Burnaev E.;"57190962221;15762040400;";Conformal kernel expected similarity for anomaly detection in time-series data;2017
Bahaweres R.B., Zawawi K., Khairani D., Hakiem N.;"55625202600;57201450171;24779480600;36548044900;";Analysis of statement branch and loop coverage in software testing with genetic algorithm;2017
Aminev D.A., Kozyrev D.V., Zhurkov A.P., Romanov A.Y., Romanova I.I.;"56818934800;26040704400;57193385037;55372881400;55427298100;";Method of automated control of distributed radio direction finding system;2017
Yandex A.B., Lempitsky V.;"55365536600;22234735100;";AnnArbor: Approximate Nearest Neighbors Using Arborescence Coding;2017
Osokin A., Chessel A., Salas R.E.C., Vaggi F.;"57210766875;14035217500;6603440015;48261428700;";GANs for Biological Image Synthesis;2017
Petrosyants K.O., Dvornikov O.V., Prokopenko N.N., Kozhukhov M.V.;"6602577918;12039472200;55233056200;54913927200;";Extension of standard SPICE SiGe HBT models in the cryogenic temperature range;2017
Mikhaylovskaya A.V., Mosleh A.O., Kotov A.D., Kwame J.S., Pourcelot T., Golovin I.S., Portnoy V.K.;"36504555400;57192311969;55356096100;57196034417;57196031377;7006821098;7005646840;";Superplastic deformation behaviour and microstructure evolution of near-α Ti-Al-Mn alloy;2017
Grünthal R., Nichols J.;"36717553400;7201486156;";Transitivizing-detransitivizing typology and language family history;2017
Baranov A., Burnaev E., Derkach D., Filatov A., Klyuchnikov N., Lantwin O., Ratnikov F., Ustyuzhanin A., Zaitsev A.;"56045705600;15762040400;32667516700;57200106826;57200113111;57194596352;35227881400;55803484600;57191222878;";Optimising the Active Muon Shield for the SHiP Experiment at CERN;2017
Pino M., Kravtsov V.E., Altshuler B.L., Ioffe L.B.;"56956536000;7102485510;7005569318;7004567667;";Multifractal metal in a disordered Josephson junctions array;2017
Sonner M., Tikhonov K.S., Mirlin A.D.;"57221140780;57193798658;7004286676;";Multifractality of wave functions on a Cayley tree: From root to leaves;2017
Nichols J.;"7201486156;";Person as an inflectional category;2017
Balashov V., Zlotnik A., Savenkov E.;"56906737200;7101674545;15731840000;";Analysis of a regularized model for the isothermal two-component mixture with the diffuse interface;2017
Rivera R., Burnaev E.;"57209749721;15762040400;";Forecasting of commercial sales with large scale gaussian processes;2017
Buzmakov A., Kuznetsov S.O., Napoli A.;"56018681500;7202573378;7005873419;";Efficient mining of subsample-stable graph patterns;2017
Avetisov V., Gorsky A., Nechaev S., Valba O.;"35560504700;56243552200;7006930329;37100734000;";Finite plateau in spectral gap of polychromatic constrained random networks;2017
Mosleh A., Mikhaylovskaya A., Kotov A., Pourcelot T., Aksenov S., Kwame J., Portnoy V.;"57192311969;36504555400;55356096100;57196031377;15080694300;57196034417;7005646840;";Modelling of the superplastic deformation of the near-a titanium alloy (Ti-2.5AL-1.8MN) using arrhenius-type constitutive model and artificial neural network;2017
Bedrikovetsky P., You Z., Badalyan A., Osipov Y., Kuzmina L.;"57203216627;57215543458;57226236077;7004957058;56104145400;";Analytical model for straining-dominant large-retention depth filtration;2017
Arkhipov I.;"57201291074;";"Chroniques bibliographiques 19. the ""treasure archive"" of puzriš-daganfrom a mari perspective";2017
Scuotto V., Caputo F., Villasalero M., Del Giudice M.;"55960201200;57189995566;36663157100;54412034700;";A multiple buyer–supplier relationship in the context of SMEs’ digital supply chain management*;2017
Galinina O., Andreev S., Komarov M., Maltseva S.;"36602594600;27067535800;6603888073;56022395900;";Leveraging heterogeneous device connectivity in a converged 5G-IoT ecosystem;2017
Kotov O.V., Lozovik Y.E.;"39262112800;16421007700;";Enhanced optical activity in hyperbolic metasurfaces;2017
Kabatskov A.N., Leybovich O.L.;"57200106463;57191610916;";“By Taste and the Spirit of the Times …”: The Professor as Slave;2017
Ishchenko N.I.;"57201428815;";The Analytic System of Martin Heidegger’s Da-sein and the Anthropology of Max Scheler in the Educational Perspective;2017
Pavlovets M.G.;"57195367165;";The School Canon as a Battlefield: A Baptismal Font without a Child;2017
Demin M.R.;"57195640095;";Universities on the Market: Academic Capitalism as a Challenge and a Window of Opportunity;2017
Schmalz X., Porshnev A., Marinus E.;"55575415200;56109471800;24483320000;";Two distinct parsing stages in nonword reading aloud: Evidence from Russian;2017
Anulova S.V., Mai H., Veretennikov A.Y.U.;"6507737796;56425456200;7003845665;";On averaged expected cost control as reliability for 1D ergodic diffusions;2017
Ivanov A., Voinikanis E.;"57203085939;57210566455;";A century of experimentation: Institutional approaches to knowledge production in russia from 1917 to 2017 and their implications for ip and competition equilibrium;2017
Lyashevskaya O., Bocharov V., Sorokin A., Shavrina T., Granovsky D., Alexeeva S.;"37090988800;56292209300;35554013900;57194513345;56291715000;56292079100;";Text collections for evaluation of Russian morphological taggers;2017
Semyonov A., Smith J.;"56184821200;56472020300;";Nationalism and Empire before and after 1917;2017
García-Meca E., López-Iturriaga F., Tejerina-Gaite F.;"55902968800;8410264500;15074477300;";Institutional Investors on Boards: Does Their Behavior Influence Corporate Finance?;2017
Eckhoff H.M., Janda L.A., Lyashevskaya O.;"55329130200;25637094500;37090988800;";Predicting Russian aspect by frequency across genres;2017
Lukinskiy V., Lukinskiy V.;"57210102386;56151945100;";Efficiency increase models of two-level echelon logistic systems;2017
Voronova N.S., Posazhenkov M.A., Lozovik Y.E.;"24559241600;57200961494;16421007700;";Internal Structure of Vortices in a Two-Component Exciton-Polariton Condensate;2017
Chernyshev V.L., Tolchennikov A.A.;"22978469800;24176272200;";The Second Term in the Asymptotics for the Number of Points Moving Along a Metric Graph;2017
Sidorenko V.G., Aung C.M., Alekseev V.M., Rozenberg E.N., Umanskii V.I.;"7103388816;57200753037;57200888440;57210808846;57200755768;";Planning Electric-Rolling-Stock Maintenance in Conditions of Limited Resources;2017
Yelizarov A.A., Pchelnikov Y.N., Shaymardanov R.V.;"7005491804;6603531328;55650079800;";Analysis of an Electromagnetic Wave with Circular Electron Beam Interaction in a Slow-Wave System of “Ribbed-Metal-Rod” Type;2017
Zaretskiy Y.;"55988267400;";Confessing to Leviathan: The mass practice of writing autobiographies in the USSR;2017
Sánchez-Torres J.M., Miles I.;"36701795600;7003911939;";The role of future-oriented technology analysis in e-Government: a systematic review;2017
Izvekova Y.N., Popel S.I.;"36801516400;7004783855;";Plasma Effects in Dust Devils near the Martian Surface;2017
Belov A.G., Denisov I.A., Kanevskii V.E., Pashkova N.V., Lysenko A.P.;"7202831990;57196843742;22635087900;6602847218;7102056469;";Determining the Free Carrier Density in CdxHg1–xTe Solid Solutions from Far-Infrared Reflection Spectra;2017
Ross S.;"55966486500;";Five thousand, 5,000, and five thousands: Disentangling ruble quantities and qualities;2017
Fronteddu G., Alòs i Font H., Tyers F.M.;"57200317159;56990043700;36474191000;";Machine translation from Catalan to Sardinian: a translation tool for a language in the process of standardisation [Una eina per a una llengua en procés d’estandardització: el traductor automàtic català–sard];2017
Shapoval A., Le Mouël J.-L., Shnirman M., Courtillot V.;"10144240900;7006534497;6602725009;7007184416;";Dynamics of Sunspot Series on Time Scales From Days to Years: Correlation of Sunspot Births, Variable Lifetimes, and Evolution of the High-Frequency Spectral Component;2017
Savinskaya O.B.;"56626130000;";The parents’ values of early childhood education and care in Russia: Discovering the dimensions via coding and category clustering;2017
